Samples - Plot 0,Voltage (V) - Plot 0
857,0.0784444
858,0.0784387
859,0.0784693
860,0.0784478
861,0.0784577
862,0.0784723
863,0.0784348
864,0.0784477
865,0.0784318
866,0.07843
867,0.0784372
868,0.0784438
869,0.0784317
870,0.0784419
871,0.0784638
872,0.0784553
873,0.0784348
874,0.0784601
875,0.0784503
876,0.0784567
877,0.0784884
878,0.0784478
879,0.0784271
880,0.0784486
881,0.0784305
882,0.0784393
883,0.0784386
884,0.0784507
885,0.0784436
886,0.0784427
887,0.0784508
888,0.0784687
889,0.078464
890,0.0784557
891,0.0784799
892,0.0784468
893,0.0784567
894,0.078462
895,0.0784536
896,0.0784735
897,0.0784814
898,0.0784521
899,0.0784256
900,0.0784375
901,0.0784458
902,0.0784606
903,0.0784862
904,0.0784471
905,0.0784336
906,0.0784438
907,0.0784299
908,0.078416
909,0.0784668
910,0.078439
911,0.0784301
912,0.0784589
913,0.078468
914,0.0784563
915,0.078454
916,0.0784655
917,0.0784638
918,0.0784684
919,0.0784603
920,0.0784374
921,0.0784562
922,0.0784753
923,0.0784622
924,0.0784594
925,0.0784606
926,0.0784367
927,0.0784505
928,0.078425
929,0.0784469
930,0.0784495
931,0.0784463
932,0.0784637
933,0.0784664
934,0.0784697
935,0.0784562
936,0.0784837
937,0.0784786
938,0.0784562
939,0.0784645
940,0.0784711
941,0.0784771
942,0.0784753
943,0.0784758
944,0.0784688
945,0.0784444
946,0.0784583
947,0.0784608
948,0.0784752
949,0.0784388
950,0.0784574
951,0.0784575
952,0.0784885
953,0.0784729
954,0.0784636
955,0.0784832
956,0.0784798
957,0.078467
958,0.0784466
959,0.0784541
960,0.0784724
961,0.0784751
962,0.0784658
963,0.0784342
964,0.0784714
965,0.0784538
966,0.0784686
967,0.0784672
968,0.0784656
969,0.078455
970,0.0784513
971,0.0784566
972,0.078464
973,0.0784794
974,0.0784636
975,0.0784657
976,0.078464
977,0.0784698
978,0.0784796
979,0.0784316
980,0.0784536
981,0.0784687
982,0.0784698
983,0.0784798
984,0.0784691
985,0.0784622
986,0.0784742
987,0.0784497
988,0.0784495
989,0.0784685
990,0.0784557
991,0.0784647
992,0.0784439
993,0.0784523
994,0.07847
995,0.0784569
996,0.0784449
997,0.0784536
998,0.0784586
999,0.0784623
1000,0.0784719
1001,0.078436
1002,0.0784438
1003,0.0784302
1004,0.0784425
1005,0.0784674
1006,0.0784395
1007,0.0784479
1008,0.0784472
1009,0.0784214
1010,0.0784329
1011,0.0784523
1012,0.0784553
1013,0.0784618
1014,0.0784557
1015,0.0784588
1016,0.0784503
1017,0.078444
1018,0.0784374
1019,0.078436
1020,0.0784553
1021,0.0784405
1022,0.0784339
1023,0.0784573
1024,0.0784463
1025,0.0784517
1026,0.0784188
1027,0.0784287
1028,0.0784261
1029,0.0784343
1030,0.0784245
1031,0.0784335
1032,0.0784402
1033,0.0784612
1034,0.0784409
1035,0.0784456
1036,0.0784371
1037,0.0784266
1038,0.0784449
1039,0.078446
1040,0.0784416
1041,0.078438
1042,0.0784322
1043,0.0784308
1044,0.0784378
1045,0.0784304
1046,0.0784611
1047,0.0784572
1048,0.0784361
1049,0.0784459
1050,0.0784606
1051,0.0784337
1052,0.0784428
1053,0.0784372
1054,0.0784451
1055,0.0784304
1056,0.0784405
1057,0.0784398
1058,0.0784686
1059,0.0784574
1060,0.0784603
1061,0.0784366
1062,0.0784881
1063,0.0784664
1064,0.0784645
1065,0.0784477
1066,0.078467
1067,0.0784567
1068,0.0784515
1069,0.0784438
1070,0.0784111
1071,0.0784308
1072,0.0784411
1073,0.078424
1074,0.0784342
1075,0.0784212
1076,0.0784541
1077,0.0784674
1078,0.0784673
1079,0.0784342
1080,0.0784124
1081,0.0784282
1082,0.078443
1083,0.0784537
1084,0.0784586
1085,0.0784537
1086,0.0783988
1087,0.0784566
1088,0.0784283
1089,0.0784381
1090,0.0784527
1091,0.0784542
1092,0.0784133
1093,0.0784333
1094,0.0784369
1095,0.0784251
1096,0.0784366
1097,0.0784461
1098,0.0784255
1099,0.0784381
1100,0.0784227
1101,0.0784507
1102,0.0784198
1103,0.0784378
1104,0.0784728
1105,0.0784537
1106,0.0784464
1107,0.0784599
1108,0.0784554
1109,0.0784456
1110,0.078431
1111,0.0784208
1112,0.0784443
1113,0.078454
1114,0.0784411
1115,0.0784336
1116,0.0784099
1117,0.0784081
1118,0.0784152
1119,0.0784313
1120,0.0784162
1121,0.0784195
1122,0.0784132
1123,0.0784145
1124,0.0784367
1125,0.0784051
1126,0.0784283
1127,0.078424
1128,0.0784238
1129,0.0784114
1130,0.0784222
1131,0.078425
1132,0.0784344
1133,0.0784602
1134,0.0784315
1135,0.0784402
1136,0.0784437
1137,0.078434
1138,0.0784318
1139,0.0784202
1140,0.0784377
1141,0.0784437
1142,0.0784149
1143,0.0784312
1144,0.0783992
1145,0.078443
1146,0.0784302
1147,0.078415
1148,0.0784228
1149,0.0784346
1150,0.0784395
1151,0.0784252
1152,0.0784415
1153,0.0784455
1154,0.0784218
1155,0.0784079
1156,0.0784211
1157,0.0784216
1158,0.0784088
1159,0.0784376
1160,0.0784102
1161,0.0783982
1162,0.0784398
1163,0.078419
