Date,Open,High,Low,Close,Adj Close,Volume
2013-01-21,468.075012,477.399994,459.075012,460.024994,413.327576,2330704
2013-01-22,460.000000,465.299988,458.100006,460.274994,413.552216,1035860
2013-01-23,460.750000,464.225006,458.000000,461.700012,414.832581,854074
2013-01-24,462.500000,464.149994,453.325012,457.174988,410.766907,693610
2013-01-25,457.500000,458.799988,453.000000,455.950012,409.666229,523096
2013-01-28,455.174988,457.399994,447.500000,448.825012,403.264557,710752
2013-01-29,447.750000,450.725006,440.024994,441.274994,396.480927,755414
2013-01-30,443.174988,451.424988,443.174988,449.524994,403.893463,1560424
2013-01-31,450.000000,450.000000,441.774994,443.274994,398.277924,511824
2013-02-01,445.500000,449.500000,441.825012,446.725006,401.377716,602336
2013-02-04,447.174988,450.299988,441.799988,443.174988,398.188019,650154
2013-02-05,442.000000,443.000000,437.000000,438.174988,393.695618,537776
2013-02-06,439.575012,441.450012,435.575012,437.450012,393.044189,416754
2013-02-07,435.950012,440.750000,434.200012,435.524994,391.314606,444090
2013-02-08,436.000000,436.924988,429.000000,432.100006,388.237274,518800
2013-02-11,432.149994,436.950012,430.500000,433.899994,389.854584,360612
2013-02-12,434.700012,439.924988,433.100006,437.975006,393.515869,442588
2013-02-13,440.500000,444.000000,436.750000,439.125000,394.549194,627200
2013-02-14,440.000000,441.424988,425.125000,427.575012,384.171661,510830
2013-02-15,427.500000,428.500000,417.250000,422.424988,379.544373,878096
2013-02-18,422.774994,427.299988,422.500000,423.649994,380.645050,367956
2013-02-19,425.200012,427.950012,417.524994,424.399994,381.318878,548162
2013-02-20,428.174988,439.250000,428.174988,437.674988,393.246368,989020
2013-02-21,434.000000,438.524994,426.274994,428.375000,384.890381,985714
2013-02-22,429.500000,435.950012,429.000000,431.325012,387.540924,572896
2013-02-25,432.024994,433.000000,425.625000,426.975006,383.632568,516650
2013-02-26,424.850006,424.850006,409.674988,411.975006,370.155212,803374
2013-02-27,414.325012,420.325012,413.500000,415.600006,373.412262,687234
2013-02-28,419.000000,419.850006,402.899994,407.325012,365.977203,1467318
2013-03-01,407.649994,409.000000,403.000000,404.750000,363.663605,790778
2013-03-04,404.750000,408.850006,402.250000,406.274994,365.033783,614856
2013-03-05,408.750000,416.799988,408.750000,413.149994,371.210938,672072
2013-03-06,415.549988,418.924988,413.625000,417.399994,375.029480,665672
2013-03-07,415.000000,420.450012,412.100006,417.825012,375.411377,885106
2013-03-08,420.625000,426.750000,420.024994,425.500000,382.307251,579518
2013-03-11,425.500000,430.350006,420.075012,421.850006,379.027771,600134
2013-03-12,425.000000,427.450012,421.774994,423.750000,380.734924,636076
2013-03-13,421.725006,428.149994,420.000000,421.924988,379.095154,751084
2013-03-14,422.000000,431.575012,417.700012,430.325012,386.642517,880810
2013-03-15,431.625000,434.500000,419.274994,421.899994,379.072693,1105760
2013-03-18,417.000000,421.625000,415.000000,415.799988,373.591919,1412228
2013-03-19,417.500000,419.850006,406.149994,412.524994,370.649323,2291968
2013-03-20,415.000000,415.000000,406.625000,411.274994,369.526276,1630492
2013-03-21,412.674988,416.075012,402.500000,406.774994,365.483032,1308298
2013-03-22,404.475006,410.000000,402.024994,405.399994,364.247650,953730
2013-03-25,410.500000,411.475006,401.524994,404.850006,363.753479,957878
2013-03-26,402.350006,402.500000,390.549988,391.700012,351.938354,994130
2013-03-28,391.799988,392.000000,382.500000,386.850006,347.580627,2041246
2013-04-01,390.174988,395.250000,386.875000,389.075012,349.579834,541754
2013-04-02,390.399994,398.500000,389.225006,396.975006,356.677826,548370
2013-04-03,399.350006,399.549988,386.100006,388.399994,348.973297,813458
2013-04-04,386.350006,388.850006,382.500000,383.375000,344.458405,812404
2013-04-05,383.674988,391.000000,383.100006,390.174988,350.568146,658476
2013-04-08,389.350006,396.750000,389.000000,394.575012,354.521515,508162
2013-04-09,395.674988,397.674988,386.250000,388.174988,348.771118,1167730
2013-04-10,390.200012,392.399994,386.075012,390.524994,350.882599,821094
2013-04-11,392.475006,392.924988,382.500000,385.575012,346.435059,905144
2013-04-12,383.174988,390.299988,382.625000,387.649994,348.299438,560546
2013-04-15,387.000000,399.500000,386.625000,396.774994,356.498138,1242296
2013-04-16,399.000000,404.750000,393.100006,402.250000,361.417358,1135858
2013-04-17,402.549988,405.000000,385.250000,387.049988,347.760345,2339900
2013-04-18,387.250000,392.600006,386.500000,390.899994,351.219513,847024
2013-04-22,392.274994,397.075012,389.325012,394.875000,354.791016,696494
2013-04-23,395.174988,402.625000,393.250000,401.750000,360.968109,1077594
2013-04-25,403.000000,413.424988,403.000000,409.649994,368.066193,1309416
2013-04-26,406.950012,412.424988,394.899994,396.575012,356.318481,911234
2013-04-29,397.500000,399.500000,394.500000,396.299988,356.071350,1198090
2013-04-30,397.174988,398.350006,389.000000,394.075012,354.072235,928880
2013-05-02,393.950012,403.399994,391.625000,401.375000,360.631195,948060
2013-05-03,402.000000,407.700012,399.000000,400.600006,359.934875,1094684
2013-05-06,401.250000,412.350006,401.250000,410.750000,369.054535,812620
2013-05-07,411.000000,417.825012,409.700012,413.549988,371.570282,710420
2013-05-08,414.174988,416.500000,411.000000,414.549988,372.468781,590616
2013-05-09,415.000000,416.000000,407.750000,409.049988,367.527100,516416
2013-05-10,406.774994,410.250000,404.500000,406.049988,373.039307,498896
2013-05-13,406.000000,412.350006,399.299988,401.500000,368.859253,761578
2013-05-14,400.000000,404.450012,397.750000,398.850006,366.424683,536974
2013-05-15,401.750000,410.125000,401.174988,409.399994,376.116974,738836
2013-05-16,408.700012,421.674988,408.000000,420.075012,385.924194,1048414
2013-05-17,420.000000,422.350006,411.750000,417.200012,383.282898,750930
2013-05-20,417.575012,427.399994,414.274994,415.450012,381.675140,890868
2013-05-21,416.000000,419.750000,412.450012,413.674988,380.044403,603426
2013-05-22,415.500000,417.100006,406.750000,408.875000,375.634674,590686
2013-05-23,407.500000,408.500000,390.799988,392.575012,360.659851,743624
2013-05-24,396.075012,397.500000,390.000000,393.950012,361.923004,482906
2013-05-27,401.500000,416.000000,401.100006,414.125000,380.457916,1362796
2013-05-28,415.000000,423.450012,412.750000,421.575012,387.302216,1296316
2013-05-29,421.500000,424.500000,416.600006,423.625000,389.185516,1114808
2013-05-30,423.250000,423.250000,415.250000,417.950012,383.971893,738662
2013-05-31,417.500000,417.500000,401.000000,402.799988,370.053589,979944
2013-06-03,403.500000,403.500000,392.625000,394.049988,362.014893,1047418
2013-06-04,395.799988,400.225006,389.575012,390.299988,358.569763,681766
2013-06-05,390.625000,401.500000,390.000000,400.274994,367.733795,762736
2013-06-06,400.500000,401.000000,394.100006,396.149994,363.944122,1433460
2013-06-07,398.475006,401.000000,391.000000,392.299988,360.407135,728826
2013-06-10,394.899994,397.450012,391.049988,394.725006,362.635040,589262
2013-06-11,392.299988,395.500000,388.250000,393.100006,361.142120,650584
